 2.57936658 1 696 1386
 -2.6382394 1 696 975
 -1.6479555 1 696 550
 -2.1028729 1 696 2265
 -0.0373332 1 696 1939
 -1.9300714 1 696 1184
 -1.9768119 1 696 336
 -2.5327564 1 696 2068
 -0.2967464 1 696 2025
 -2.2835897 1 696 1586
 -2.3231395 1 696 1018
 2.69336775 1 696 1431
 -2.2365073 1 696 2763
 2.62577719 1 696 1906
 -2.2801734 1 696 500
 -2.9751501 1 696 923
 -2.7463825 1 696 1338
 0.16223911 1 696 488
 6.13292916 1 696 1075
 -1.3122211 1 696 2445
 -3.0542116 1 696 2040
 -0.6312009 1 696 2471
 1.6104207 1 696 729
 0.45200325 1 696 387
 -0.8687035 1 1781 571
 -0.6253251 1 222 800
 0.54839104 1 1844 733
 0.03317336 1 696 1937
 -0.9559507 1 696 2752
 -0.8212563 1 696 288
 0.13144417 1 424 2136
 -0.8536013 1 740 1016
 0.03416785 1 968 607
 0.57391141 1 526 277
 -0.3352076 1 277 2335
 -1.3045436 1 696 1008
 -0.1632972 1 696 718
 -0.0221339 1 696 420
 0.12719615 1 696 2737
 -1.4986769 1 696 1426
 2.26375437 1 696 1105
 -1.2816328 1 696 2443
 0.31547881 1 696 702
 -0.0874177 1 1801 2791
 0.28087823 1 1044 1371
 -2.086714 1 1746 1749
 0.15843932 1 1573 480
 -1.2989233 1 1369 818
 -0.7963796 1 2096 570
 -0.1268486 1 1359 2558
 -0.0793519 1 1460 1949
 1.87389316 1 1916 1530
 0.43824932 1 766 798
 -0.4159502 1 1140 2693
 0.52573192 1 1704 1312
 -0.0525381 1 289 1394
 -2.4182168 1 887 304
 0.51480672 1 919 999
 1.13661707 1 177 2038
 0.19465151 1 2488 1524
 -1.405469 1 892 169
 -0.6226094 1 1448 1923
 1.06471764 1 1630 406
 -0.5234503 1 1739 1413
 1.02936373 1 2391 2054
 -1.2502266 1 894 781
 -0.0428923 1 2240 614
 0.37011563 1 482 899
 -2.1651166 1 696 831
 -0.8789283 1 1900 1965
 -1.0673994 1 696 2545
 2.55927619 1 2037 2460
 2.46947623 1 696 685
 1.69138638 1 2432 725
 4.88904896 1 373 2080
 -0.3307049 1 1040 467
 1.13386455 1 696 809
 2.14764517 1 851 2546
 2.51429726 1 696 1964
 -2.1568449 1 696 1858
 0.2229258 1 696 2258
 1.70482725 1 1444 1537
 -1.7252332 1 696 173
 0.03084171 1 1116 1198
 -0.0629401 1 1117 877
 1.42293925 1 696 2270
 -0.3038606 1 696 2353
 0.27486678 1 696 2151
 0.93643069 1 1375 995
 -2.5269077 1 696 392
 3.98050226 1 696 302
 -0.4920962 1 924 1398
 0.85212506 1 696 1077
 -0.350809 1 1902 2067
 -3.2917789 1 696 2154
 1.84786435 1 2376 2347
 -0.3237796 1 1501 2029
 -0.0823926 1 696 1118
 -0.6763263 1 2045 263
 -0.4606662 1 696 79
 -0.4437216 1 696 432
 -0.5074612 1 1150 1288
 2.36877849 1 1222 1845
 2.44623136 1 696 1946
 1.43857734 1 1355 2561
 -1.2065654 1 696 2665
 -2.856128 1 696 210
 -1.303134 1 2200 1502
 -1.2777103 1 1112 1174
 -1.1694938 1 1113 1721
 -1.892096 1 1031 2061
 -0.2538804 1 1777 2450
 0.08764775 1 873 699
 -0.9754933 1 786 1024
 1.35568826 1 1004 706
 0.87812928 1 1453 931
 0.2734929 1 1825 2255
 -0.5291722 1 2130 983
 -0.9332531 1 7 1307
 1.15508257 1 79 2058
 2.08039987 1 1321 1385
 -0.2505297 1 2043 2075
 -0.2371309 1 128 2575
 -2.3126281 1 554 2452
 -1.2737297 1 2262 39
 -1.3663093 1 2411 1292
 0.01537039 1 1454 1401
 -0.6888631 1 569 2457
 0.17882504 1 634 703
 -0.7078529 1 488 713
 -0.6708775 1 589 360
 -0.7441237 1 563 1499
 0.1294439 1 1692 2668
 -0.5283731 1 67 2330
 0.42299455 1 1440 112
 -0.1003169 1 1485 1217
 1.80126133 1 771 890
 -0.1135641 1 508 2366
 1.42267713 1 213 130
 0.66204083 1 1932 311
 -0.9090255 1 2263 1392
 -0.2789597 1 1650 2081
 -0.329929 1 602 2429
 -0.0235276 1 696 2113
 -0.2880111 1 696 1036
 -0.2256156 1 1931 688
 0.26547123 1 618 349
 0.35570429 1 1863 2542
 -0.481608 1 1754 90
 -0.5369307 1 1497 1278
